"correct_button_mouse","datetime","deontological_button","dilemma_name","initiation_time","initiation_time_mouse","left_answer","right_answer","timestamps_mouse","xpos_mouse","ypos_mouse"
"right_button","Sun Oct  1 17:33:25 2023","right_button","\"Bomb 2\"","360","360","\"Break the son's arm\"","\"Nothing\"","[6602.0, 6612.0, 6622.0, 6632.0, 6642.0, 6652.0, 6662.0, 6672.0, 6682.0, 6692.0, 6702.0, 6712.0, 6722.0, 6732.0, 6742.0, 6752.0, 6762.0, 6772.0, 6782.0, 6792.0, 6802.0, 6812.0, 6822.0, 6832.0, 6842.0, 6852.0, 6862.0, 6872.0, 6882.0, 6892.0, 6902.0, 6912.0, 6922.0, 6932.0, 6942.0, 6952.0, 6962.0, 6972.0, 6982.0, 6992.0, 7002.0, 7012.0, 7022.0, 7032.0, 7042.0, 7052.0, 7062.0, 7072.0, 7082.0, 7092.0, 7102.0, 7112.0, 7122.0, 7132.0, 7142.0, 7152.0, 7162.0, 7172.0, 7182.0, 7192.0, 7202.0, 7212.0, 7222.0, 7232.0, 7242.0, 7252.0, 7262.0, 7272.0, 7282.0, 7292.0, 7302.0, 7312.0, 7322.0, 7332.0, 7342.0, 7352.0, 7362.0, 7372.0, 7382.0, 7392.0, 7402.0, 7412.0, 7422.0, 7432.0, 7442.0, 7452.0, 7462.0, 7472.0, 7482.0, 7492.0, 7502.0, 7512.0, 7522.0, 7532.0, 7542.0, 7552.0, 7562.0, 7572.0, 7582.0, 7592.0, 7602.0, 7611]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -2.0, -2.0, -3.0, -3.0, -4.0, -5.0, -6.0, -7.0, -9.0, -11.0, -12.0, -14.0, -16.0, -17.0, -18.0, -19.0, -21.0, -22.0, -23.0, -23.0, -25.0, -26.0, -27.0, -29.0, -37.0, -42.0, -53.0, -61.0, -79.0, -88.0, -96.0, -98.0, -109.0, -111.0, -115.0, -126.0, -129.0, -131.0, -135.0, -142.0, -146.0, -149.0, -153.0, -159.0, -162.0, -165.0, -167.0, -171.0, -173.0, -176.0, -177.0, -182.0, -184.0, -186.0, -186.0, -186.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 322.0, 318.0, 315.0, 313.0, 310.0, 299.0, 295.0, 289.0, 287.0, 277.0, 273.0, 269.0, 265.0, 258.0, 256.0, 252.0, 248.0, 241.0, 237.0, 231.0, 225.0, 221.0, 217.0, 214.0, 207.0, 203.0, 198.0, 194.0, 182.0, 173.0, 164.0, 153.0, 133.0, 122.0, 103.0, 90.0, 60.0, 41.0, 23.0, 14.0, -15.0, -20.0, -28.0, -45.0, -48.0, -51.0, -55.0, -64.0, -70.0, -78.0, -86.0, -97.0, -103.0, -106.0, -109.0, -112.0, -113.0, -115.0, -116.0, -118.0, -119.0, -121.0, -121.0, -121.0]"
"left_button","Sun Oct  1 17:33:25 2023","left_button","\"Standard Trolley\"","110","110","“Nothing”","“Hit the switch”","[9531.0, 9541.0, 9551.0, 9561.0, 9571.0, 9581.0, 9591.0, 9601.0, 9611.0, 9621.0, 9631.0, 9641.0, 9651.0, 9661.0, 9671.0, 9681.0, 9691.0, 9701.0, 9711.0, 9721.0, 9731.0, 9741.0, 9751.0, 9761.0, 9771.0, 9781.0, 9791.0, 9801.0, 9811.0, 9821.0, 9831.0, 9841.0, 9851.0, 9861.0, 9871.0, 9881.0, 9891.0, 9901.0, 9911.0, 9921.0, 9931.0, 9941.0, 9951.0, 9961.0, 9971.0, 9981.0, 9991.0, 10001.0, 10011.0, 10021.0, 10031.0, 10041.0, 10051.0, 10061.0, 10071.0, 10081.0, 10091.0, 10101.0, 10111.0, 10121.0, 10128]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 3.0, -2.0, -30.0, -37.0, -54.0, -69.0, -98.0, -110.0, -121.0, -123.0, -135.0, -137.0, -139.0, -139.0, -139.0, -139.0, -139.0, -139.0, -139.0, -139.0, -140.0, -141.0, -147.0, -151.0, -156.0, -169.0, -177.0, -185.0, -202.0, -223.0, -233.0, -242.0, -247.0, -262.0, -268.0, -270.0, -274.0, -278.0, -279.0, -281.0, -281.0, -281.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 328.0, 330.0, 330.0, 330.0, 330.0, 330.0, 322.0, 310.0, 295.0, 225.0, 211.0, 174.0, 141.0, 80.0, 53.0, 29.0, 18.0, -19.0, -33.0, -47.0, -56.0, -66.0, -72.0, -76.0, -79.0, -82.0, -82.0, -83.0, -83.0, -84.0, -85.0, -86.0, -91.0, -96.0, -101.0, -111.0, -131.0, -143.0, -155.0, -162.0, -188.0, -199.0, -202.0, -209.0, -217.0, -219.0, -221.0, -221.0, -221.0]"
"left_button","Sun Oct  1 17:33:25 2023","left_button","\"Crying baby\"","230","230","\"Nothing\"","\"Smother your baby\"","[11179.0, 11189.0, 11199.0, 11209.0, 11219.0, 11229.0, 11239.0, 11249.0, 11259.0, 11269.0, 11279.0, 11289.0, 11299.0, 11309.0, 11319.0, 11329.0, 11339.0, 11349.0, 11359.0, 11369.0, 11379.0, 11389.0, 11399.0, 11409.0, 11419.0, 11429.0, 11439.0, 11449.0, 11459.0, 11469.0, 11479.0, 11489.0, 11499.0, 11509.0, 11519.0, 11529.0, 11539.0, 11549.0, 11559.0, 11569.0, 11579.0, 11589.0, 11599.0, 11609.0, 11619.0, 11629.0, 11639.0, 11649.0, 11659.0, 11669.0, 11679.0, 11689.0, 11699.0, 11709.0, 11719.0, 11729.0, 11739.0, 11749.0, 11759.0, 11769.0, 11779.0, 11789.0, 11794]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 14.0, 18.0, 26.0, 32.0, 42.0, 55.0, 58.0, 71.0, 80.0, 87.0, 94.0, 115.0, 125.0, 134.0, 141.0, 173.0, 188.0, 203.0, 210.0, 233.0, 244.0, 252.0, 260.0, 270.0, 275.0, 279.0, 283.0, 289.0, 293.0, 295.0, 297.0, 299.0, 299.0, 299.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 311.0, 302.0, 287.0, 268.0, 222.0, 201.0, 177.0, 156.0, 127.0, 94.0, 87.0, 60.0, 37.0, 23.0, 8.0, -32.0, -47.0, -60.0, -68.0, -101.0, -111.0, -120.0, -122.0, -135.0, -139.0, -143.0, -148.0, -157.0, -161.0, -164.0, -167.0, -170.0, -172.0, -173.0, -173.0, -173.0, -173.0, -173.0]"
"right_button","Sun Oct  1 17:33:25 2023","right_button","\"Plane Crash\"","140","140","\"Kill the boy\"","\"Nothing\"","[12745.0, 12755.0, 12765.0, 12775.0, 12785.0, 12795.0, 12805.0, 12815.0, 12825.0, 12835.0, 12845.0, 12855.0, 12865.0, 12875.0, 12885.0, 12895.0, 12905.0, 12915.0, 12925.0, 12935.0, 12945.0, 12955.0, 12965.0, 12975.0, 12985.0, 12995.0, 13005.0, 13015.0, 13025.0, 13035.0, 13045.0, 13055.0, 13065.0, 13075.0, 13085.0, 13095.0, 13105.0, 13115.0, 13125.0, 13135.0, 13145.0, 13155.0, 13165.0, 13175.0, 13185.0, 13195.0, 13205.0, 13215.0, 13225.0, 13235.0, 13245.0, 13255.0, 13265.0, 13275.0, 13285.0, 13295.0, 13305.0, 13315.0, 13325.0, 13335.0, 13344]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.0, -3.0, -6.0, -11.0, -13.0, -15.0, -21.0, -28.0, -35.0, -44.0, -66.0, -79.0, -93.0, -116.0, -128.0, -136.0, -143.0, -155.0, -156.0, -158.0, -160.0, -162.0, -162.0, -162.0, -162.0, -163.0, -164.0, -164.0, -166.0, -170.0, -175.0, -183.0, -195.0, -203.0, -210.0, -213.0, -224.0, -229.0, -233.0, -236.0, -242.0, -242.0, -242.0, -242.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 321.0, 318.0, 315.0, 306.0, 295.0, 290.0, 284.0, 270.0, 256.0, 245.0, 233.0, 203.0, 185.0, 165.0, 123.0, 102.0, 82.0, 61.0, 19.0, 10.0, -6.0, -21.0, -45.0, -49.0, -55.0, -60.0, -69.0, -75.0, -79.0, -83.0, -94.0, -102.0, -115.0, -133.0, -145.0, -153.0, -156.0, -167.0, -169.0, -171.0, -172.0, -173.0, -173.0, -173.0, -173.0]"
"left_button","Sun Oct  1 17:33:25 2023","left_button","\"Transplant\"","160","160","\"Nothing\"","\"Transplant his organs\"","[14156.0, 14166.0, 14176.0, 14186.0, 14196.0, 14206.0, 14216.0, 14226.0, 14236.0, 14246.0, 14256.0, 14266.0, 14276.0, 14286.0, 14296.0, 14306.0, 14316.0, 14326.0, 14336.0, 14346.0, 14356.0, 14366.0, 14376.0, 14386.0, 14396.0, 14406.0, 14416.0, 14426.0, 14436.0, 14446.0, 14456.0, 14466.0, 14476.0, 14486.0, 14496.0, 14506.0, 14516.0, 14526.0, 14536.0, 14546.0, 14556.0, 14566.0, 14576.0, 14586.0, 14596.0, 14606.0, 14616.0, 14626.0, 14636.0, 14646.0, 14656.0, 14666.0, 14676.0, 14686.0, 14696.0, 14706.0, 14711]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 6.0, 12.0, 24.0, 31.0, 37.0, 46.0, 63.0, 73.0, 82.0, 91.0, 104.0, 111.0, 119.0, 132.0, 144.0, 152.0, 161.0, 168.0, 183.0, 192.0, 198.0, 213.0, 219.0, 226.0, 228.0, 242.0, 247.0, 252.0, 259.0, 273.0, 280.0, 288.0, 295.0, 301.0, 301.0, 301.0, 301.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 310.0, 299.0, 287.0, 266.0, 204.0, 173.0, 139.0, 105.0, 41.0, 14.0, -13.0, -36.0, -66.0, -82.0, -96.0, -122.0, -141.0, -153.0, -165.0, -174.0, -191.0, -198.0, -202.0, -209.0, -211.0, -213.0, -214.0, -218.0, -219.0, -220.0, -221.0, -221.0, -221.0, -217.0, -213.0, -207.0, -207.0, -207.0, -207.0]"
"left_button","Sun Oct  1 17:33:25 2023","left_button","\"Vitamins\"","260","260","\"Nothing\"","\"Take the kidney\"","[15437.0, 15447.0, 15457.0, 15467.0, 15477.0, 15487.0, 15497.0, 15507.0, 15517.0, 15527.0, 15537.0, 15547.0, 15557.0, 15567.0, 15577.0, 15587.0, 15597.0, 15607.0, 15617.0, 15627.0, 15637.0, 15647.0, 15657.0, 15667.0, 15677.0, 15687.0, 15697.0, 15707.0, 15717.0, 15727.0, 15737.0, 15747.0, 15757.0, 15767.0, 15777.0, 15787.0, 15797.0, 15807.0, 15817.0, 15827.0, 15837.0, 15847.0, 15857.0, 15867.0, 15877.0, 15887.0, 15897.0, 15907.0, 15917.0, 15927.0, 15937.0, 15947.0, 15957.0, 15967.0, 15977.0, 15987.0, 15997.0, 16007.0, 16017.0, 16027.0, 16037.0, 16047.0, 16057.0, 16067.0, 16077.0, 16087.0, 16097.0, 16107.0, 16117.0, 16127.0, 16137.0, 16147.0, 16157.0, 16167.0, 16177.0, 16187.0, 16197.0, 16207.0, 16217.0, 16227.0, 16237.0, 16247.0, 16257.0, 16260]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -4.0, -11.0, -26.0, -33.0, -38.0, -43.0, -47.0, -47.0, -47.0, -47.0, -45.0, -41.0, -37.0, -32.0, -22.0, -18.0, -15.0, -2.0, 6.0, 15.0, 22.0, 39.0, 50.0, 59.0, 69.0, 91.0, 102.0, 113.0, 117.0, 130.0, 134.0, 137.0, 139.0, 145.0, 148.0, 151.0, 153.0, 158.0, 160.0, 162.0, 164.0, 165.0, 166.0, 166.0, 166.0, 166.0, 166.0, 166.0, 166.0, 166.0, 166.0, 166.0, 166.0, 166.0, 166.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 316.0, 304.0, 278.0, 202.0, 157.0, 108.0, 56.0, -48.0, -72.0, -159.0, -179.0, -258.0, -289.0, -320.0, -343.0, -389.0, -406.0, -413.0, -444.0, -450.0, -450.0, -450.0, -450.0, -450.0, -450.0, -450.0, -448.0, -444.0, -440.0, -439.0, -434.0, -433.0, -431.0, -429.0, -423.0, -418.0, -413.0, -407.0, -392.0, -384.0, -375.0, -357.0, -350.0, -342.0, -335.0, -320.0, -312.0, -306.0, -303.0, -292.0, -288.0, -285.0, -282.0, -282.0, -282.0, -282.0]"
"right_button","Sun Oct  1 17:33:25 2023","right_button","\"Footbridge\"","110","110","\"Push the man\"","\"Nothing\"","[17013.0, 17023.0, 17033.0, 17043.0, 17053.0, 17063.0, 17073.0, 17083.0, 17093.0, 17103.0, 17113.0, 17123.0, 17133.0, 17143.0, 17153.0, 17163.0, 17173.0, 17183.0, 17193.0, 17203.0, 17213.0, 17223.0, 17233.0, 17243.0, 17253.0, 17263.0, 17273.0, 17283.0, 17293.0, 17303.0, 17313.0, 17323.0, 17333.0, 17343.0, 17353.0, 17363.0, 17373.0, 17383.0, 17393.0, 17403.0, 17413.0, 17423.0, 17433.0, 17443.0, 17453.0, 17463.0, 17473.0, 17483.0, 17493.0, 17503.0, 17513.0, 17523.0, 17533.0, 17543.0, 17553.0, 17563.0, 17573.0, 17583.0, 17593.0, 17603.0, 17613.0, 17623.0, 17627]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, -3.0, -6.0, -10.0, -15.0, -23.0, -28.0, -32.0, -37.0, -46.0, -52.0, -58.0, -65.0, -78.0, -80.0, -84.0, -89.0, -99.0, -104.0, -111.0, -127.0, -145.0, -157.0, -165.0, -187.0, -197.0, -206.0, -215.0, -232.0, -239.0, -239.0, -239.0, -239.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 327.0, 329.0, 329.0, 329.0, 329.0, 329.0, 329.0, 328.0, 327.0, 325.0, 321.0, 316.0, 302.0, 291.0, 274.0, 259.0, 214.0, 161.0, 116.0, 18.0, -8.0, -50.0, -92.0, -132.0, -153.0, -169.0, -181.0, -198.0, -207.0, -214.0, -222.0, -235.0, -237.0, -240.0, -243.0, -246.0, -246.0, -246.0, -241.0, -233.0, -228.0, -226.0, -216.0, -213.0, -209.0, -206.0, -203.0, -202.0, -202.0, -202.0, -202.0]"
"right_button","Sun Oct  1 17:33:25 2023","right_button","\"Standard Fumes\"","270","270","\"Hit the switch\"","\"Nothing\"","[18316.0, 18326.0, 18336.0, 18346.0, 18356.0, 18366.0, 18376.0, 18386.0, 18396.0, 18406.0, 18416.0, 18426.0, 18436.0, 18446.0, 18456.0, 18466.0, 18476.0, 18486.0, 18496.0, 18506.0, 18516.0, 18526.0, 18536.0, 18546.0, 18556.0, 18566.0, 18576.0, 18586.0, 18596.0, 18606.0, 18616.0, 18626.0, 18636.0, 18646.0, 18656.0, 18666.0, 18676.0, 18686.0, 18696.0, 18706.0, 18716.0, 18726.0, 18736.0, 18746.0, 18756.0, 18766.0, 18776.0, 18786.0, 18796.0, 18806.0, 18816.0, 18826.0, 18836.0, 18846.0, 18856.0, 18866.0, 18876.0, 18886.0, 18896.0, 18906.0, 18916.0, 18926.0, 18936.0, 18946.0, 18956.0, 18966.0, 18976.0, 18986.0, 18994]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 7.0, 11.0, 13.0, 16.0, 18.0, 18.0, 18.0, 18.0, 18.0, 18.0, 17.0, 16.0, 15.0, 12.0, 8.0, 6.0, 3.0, -1.0, -12.0, -20.0, -35.0, -47.0, -77.0, -85.0, -113.0, -146.0, -163.0, -171.0, -186.0, -212.0, -224.0, -236.0, -245.0, -257.0, -263.0, -263.0, -263.0, -263.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 320.0, 300.0, 277.0, 243.0, 201.0, 93.0, 34.0, -25.0, -98.0, -111.0, -142.0, -150.0, -181.0, -191.0, -198.0, -208.0, -217.0, -220.0, -224.0, -229.0, -236.0, -240.0, -246.0, -249.0, -254.0, -254.0, -254.0, -254.0, -249.0, -246.0, -241.0, -233.0, -229.0, -225.0, -224.0, -221.0, -221.0, -221.0, -221.0, -221.0]"
