"correct_button_mouse","datetime","deontological_button","dilemma_name","initiation_time","initiation_time_mouse","left_answer","right_answer","timestamps_mouse","xpos_mouse","ypos_mouse"
"left_button","Tue Oct 10 12:57:49 2023","left_button","\"Standard Trolley\"","430","430","Not appropiate","Appropriate","[9304.0, 9314.0, 9324.0, 9334.0, 9344.0, 9354.0, 9364.0, 9374.0, 9384.0, 9394.0, 9404.0, 9414.0, 9424.0, 9434.0, 9444.0, 9454.0, 9464.0, 9474.0, 9484.0, 9494.0, 9504.0, 9514.0, 9524.0, 9534.0, 9544.0, 9554.0, 9564.0, 9574.0, 9584.0, 9594.0, 9604.0, 9614.0, 9624.0, 9634.0, 9644.0, 9654.0, 9664.0, 9674.0, 9684.0, 9694.0, 9704.0, 9714.0, 9724.0, 9734.0, 9744.0, 9754.0, 9764.0, 9774.0, 9784.0, 9794.0, 9804.0, 9814.0, 9824.0, 9834.0, 9844.0, 9854.0, 9864.0, 9874.0, 9884.0, 9894.0, 9904.0, 9914.0, 9924.0, 9934.0, 9944.0, 9954.0, 9964.0, 9974.0, 9984.0, 9994.0, 10004.0, 10014.0, 10024.0, 10034.0, 10044.0, 10054.0, 10064.0, 10074.0, 10084.0, 10094.0, 10104.0, 10114.0, 10124.0, 10134.0, 10136]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 4.0, 11.0, 15.0, 24.0, 33.0, 44.0, 79.0, 96.0, 115.0, 123.0, 155.0, 171.0, 188.0, 205.0, 236.0, 249.0, 255.0, 279.0, 284.0, 305.0, 309.0, 316.0, 321.0, 327.0, 328.0, 330.0, 330.0, 331.0, 331.0, 331.0, 331.0, 331.0, 331.0, 331.0, 331.0, 331.0, 331.0, 331.0, 331.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 320.0, 315.0, 304.0, 296.0, 281.0, 264.0, 243.0, 167.0, 133.0, 97.0, 81.0, 17.0, -12.0, -38.0, -65.0, -108.0, -126.0, -133.0, -161.0, -167.0, -188.0, -190.0, -196.0, -200.0, -204.0, -205.0, -205.0, -206.0, -206.0, -206.0, -206.0, -206.0, -206.0, -206.0, -206.0, -206.0, -206.0, -206.0, -206.0, -206.0]"
"right_button","Tue Oct 10 12:57:49 2023","right_button","\"Standard Fumes\"","0","0","Appropriate","Not appropiate","[12876.0, 12876]","[0, 331.0]","[325, -206.0]"
"left_button","Tue Oct 10 12:57:49 2023","left_button","\"Vitamins\"","650","650","Not appropiate","Appropriate","[15621.0, 15631.0, 15641.0, 15651.0, 15661.0, 15671.0, 15681.0, 15691.0, 15701.0, 15711.0, 15721.0, 15731.0, 15741.0, 15751.0, 15761.0, 15771.0, 15781.0, 15791.0, 15801.0, 15811.0, 15821.0, 15831.0, 15841.0, 15851.0, 15861.0, 15871.0, 15881.0, 15891.0, 15901.0, 15911.0, 15921.0, 15931.0, 15941.0, 15951.0, 15961.0, 15971.0, 15981.0, 15991.0, 16001.0, 16011.0, 16021.0, 16031.0, 16041.0, 16051.0, 16061.0, 16071.0, 16081.0, 16091.0, 16101.0, 16111.0, 16121.0, 16131.0, 16141.0, 16151.0, 16161.0, 16171.0, 16181.0, 16191.0, 16201.0, 16211.0, 16221.0, 16231.0, 16241.0, 16251.0, 16261.0, 16271.0, 16281.0, 16291.0, 16301.0, 16311.0, 16321.0, 16331.0, 16341.0, 16351.0, 16361.0, 16371.0, 16381.0, 16391.0, 16401.0, 16411.0, 16421.0, 16431.0, 16441.0, 16451.0, 16461.0, 16471.0, 16481.0, 16491.0, 16501.0, 16511.0, 16521.0, 16531.0, 16541.0, 16551.0, 16561.0, 16571.0, 16581.0, 16591.0, 16601.0, 16611.0, 16621.0, 16631.0, 16641.0, 16651.0, 16661.0, 16671.0, 16681.0, 16691.0, 16701.0, 16711.0, 16721.0, 16731.0, 16741.0, 16751.0, 16761.0, 16769]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.0, 7.0, 13.0, 34.0, 53.0, 72.0, 84.0, 130.0, 151.0, 160.0, 178.0, 204.0, 215.0, 223.0, 230.0, 236.0, 245.0, 250.0, 251.0, 254.0, 260.0, 262.0, 267.0, 270.0, 276.0, 279.0, 283.0, 285.0, 287.0, 290.0, 291.0, 292.0, 293.0, 294.0, 295.0, 296.0, 298.0, 301.0, 303.0, 304.0, 306.0, 308.0, 310.0, 311.0, 312.0, 312.0, 313.0, 313.0, 313.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 320.0, 313.0, 302.0, 289.0, 248.0, 213.0, 181.0, 164.0, 99.0, 69.0, 58.0, 35.0, 2.0, -10.0, -21.0, -29.0, -37.0, -49.0, -55.0, -57.0, -62.0, -70.0, -73.0, -79.0, -83.0, -93.0, -100.0, -106.0, -109.0, -114.0, -120.0, -121.0, -123.0, -126.0, -134.0, -139.0, -145.0, -153.0, -167.0, -174.0, -177.0, -182.0, -186.0, -193.0, -195.0, -196.0, -196.0, -197.0, -197.0, -197.0]"
"left_button","Tue Oct 10 12:57:49 2023","left_button","\"Crying baby\"","390","390","Not appropiate","Appropriate","[19446.0, 19456.0, 19466.0, 19476.0, 19486.0, 19496.0, 19506.0, 19516.0, 19526.0, 19536.0, 19546.0, 19556.0, 19566.0, 19576.0, 19586.0, 19596.0, 19606.0, 19616.0, 19626.0, 19636.0, 19646.0, 19656.0, 19666.0, 19676.0, 19686.0, 19696.0, 19706.0, 19716.0, 19726.0, 19736.0, 19746.0, 19756.0, 19766.0, 19776.0, 19786.0, 19796.0, 19806.0, 19816.0, 19826.0, 19836.0, 19846.0, 19856.0, 19866.0, 19876.0, 19886.0, 19896.0, 19906.0, 19916.0, 19926.0, 19936.0, 19946.0, 19956.0, 19966.0, 19976.0, 19986.0, 19996.0, 20006.0, 20016.0, 20026.0, 20036.0, 20046.0, 20056.0, 20066.0, 20076.0, 20086.0, 20096.0, 20106.0, 20116.0, 20126.0, 20136.0, 20146.0, 20156.0, 20166.0, 20176.0, 20186.0, 20196.0, 20206.0, 20216.0, 20218]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 16.0, 22.0, 55.0, 77.0, 99.0, 123.0, 159.0, 181.0, 202.0, 222.0, 241.0, 272.0, 286.0, 291.0, 304.0, 323.0, 330.0, 337.0, 340.0, 348.0, 351.0, 354.0, 357.0, 362.0, 364.0, 365.0, 367.0, 367.0, 368.0, 369.0, 369.0, 369.0, 369.0, 369.0, 369.0, 369.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 313.0, 305.0, 294.0, 281.0, 221.0, 184.0, 146.0, 106.0, 48.0, 12.0, -23.0, -55.0, -83.0, -129.0, -147.0, -154.0, -169.0, -192.0, -200.0, -208.0, -211.0, -220.0, -223.0, -226.0, -229.0, -234.0, -237.0, -239.0, -241.0, -241.0, -243.0, -243.0, -243.0, -244.0, -244.0, -244.0, -244.0, -244.0]"
"right_button","Tue Oct 10 12:57:49 2023","right_button","\"Footbridge\"","450","450","Appropriate","Not appropiate","[22901.0, 22911.0, 22921.0, 22931.0, 22941.0, 22951.0, 22961.0, 22971.0, 22981.0, 22991.0, 23001.0, 23011.0, 23021.0, 23031.0, 23041.0, 23051.0, 23061.0, 23071.0, 23081.0, 23091.0, 23101.0, 23111.0, 23121.0, 23131.0, 23141.0, 23151.0, 23161.0, 23171.0, 23181.0, 23191.0, 23201.0, 23211.0, 23221.0, 23231.0, 23241.0, 23251.0, 23261.0, 23271.0, 23281.0, 23291.0, 23301.0, 23311.0, 23321.0, 23331.0, 23341.0, 23351.0, 23361.0, 23371.0, 23381.0, 23391.0, 23401.0, 23411.0, 23421.0, 23431.0, 23441.0, 23451.0, 23461.0, 23471.0, 23481.0, 23491.0, 23501.0, 23511.0, 23521.0, 23531.0, 23541.0, 23551.0, 23561.0, 23571.0, 23581.0, 23591.0, 23601.0, 23611.0, 23621.0, 23631.0, 23641.0, 23651.0, 23661.0, 23671.0, 23681.0, 23691.0, 23701.0, 23711.0, 23721.0, 23731.0, 23741.0, 23751.0, 23761.0, 23771.0, 23781.0, 23791.0, 23801.0, 23811.0, 23821.0, 23831.0, 23841.0, 23851.0, 23861.0, 23871.0, 23881.0, 23891.0, 23901.0, 23911.0, 23921.0, 23931.0, 23935]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 11.0, 16.0, 24.0, 33.0, 53.0, 67.0, 90.0, 99.0, 137.0, 155.0, 175.0, 195.0, 227.0, 232.0, 245.0, 257.0, 269.0, 287.0, 296.0, 303.0, 310.0, 321.0, 325.0, 327.0, 332.0, 338.0, 341.0, 342.0, 344.0, 346.0, 348.0, 348.0, 348.0, 349.0, 349.0, 349.0, 349.0, 349.0, 349.0, 349.0, 349.0, 349.0, 350.0, 351.0, 351.0, 352.0, 354.0, 356.0, 357.0, 358.0, 359.0, 360.0, 360.0, 360.0, 360.0, 360.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 321.0, 316.0, 292.0, 280.0, 264.0, 247.0, 209.0, 189.0, 149.0, 136.0, 82.0, 57.0, 32.0, 8.0, -30.0, -36.0, -50.0, -63.0, -76.0, -98.0, -108.0, -115.0, -123.0, -135.0, -139.0, -141.0, -148.0, -155.0, -159.0, -161.0, -165.0, -167.0, -171.0, -172.0, -173.0, -174.0, -174.0, -175.0, -175.0, -175.0, -177.0, -177.0, -178.0, -178.0, -179.0, -182.0, -185.0, -189.0, -193.0, -200.0, -203.0, -206.0, -208.0, -210.0, -211.0, -211.0, -211.0, -211.0]"
"right_button","Tue Oct 10 12:57:49 2023","right_button","\"Plane Crash\"","580","580","Appropriate","Not appropiate","[25661.0, 25671.0, 25681.0, 25691.0, 25701.0, 25711.0, 25721.0, 25731.0, 25741.0, 25751.0, 25761.0, 25771.0, 25781.0, 25791.0, 25801.0, 25811.0, 25821.0, 25831.0, 25841.0, 25851.0, 25861.0, 25871.0, 25881.0, 25891.0, 25901.0, 25911.0, 25921.0, 25931.0, 25941.0, 25951.0, 25961.0, 25971.0, 25981.0, 25991.0, 26001.0, 26011.0, 26021.0, 26031.0, 26041.0, 26051.0, 26061.0, 26071.0, 26081.0, 26091.0, 26101.0, 26111.0, 26121.0, 26131.0, 26141.0, 26151.0, 26161.0, 26171.0, 26181.0, 26191.0, 26201.0, 26211.0, 26221.0, 26231.0, 26241.0, 26251.0, 26261.0, 26271.0, 26281.0, 26291.0, 26301.0, 26311.0, 26321.0, 26331.0, 26341.0, 26351.0, 26361.0, 26371.0, 26381.0, 26391.0, 26401.0, 26411.0, 26421.0, 26431.0, 26441.0, 26451.0, 26461.0, 26471.0, 26481.0, 26491.0, 26501.0, 26511.0, 26521.0, 26531.0, 26541.0, 26551.0, 26561.0, 26571.0, 26581.0, 26591.0, 26601.0, 26611.0, 26621.0, 26631.0, 26641.0, 26651.0, 26661.0, 26671.0, 26681.0, 26691.0, 26701.0, 26702]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 3.0, 5.0, 8.0, 10.0, 16.0, 21.0, 25.0, 32.0, 45.0, 57.0, 66.0, 77.0, 102.0, 118.0, 132.0, 148.0, 180.0, 196.0, 209.0, 223.0, 236.0, 256.0, 263.0, 267.0, 274.0, 285.0, 289.0, 293.0, 296.0, 300.0, 301.0, 303.0, 304.0, 305.0, 307.0, 307.0, 307.0, 308.0, 308.0, 308.0, 308.0, 308.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 323.0, 321.0, 318.0, 311.0, 307.0, 302.0, 298.0, 293.0, 281.0, 274.0, 266.0, 257.0, 238.0, 221.0, 207.0, 191.0, 156.0, 133.0, 111.0, 89.0, 43.0, 18.0, -5.0, -27.0, -48.0, -85.0, -104.0, -111.0, -127.0, -154.0, -165.0, -175.0, -183.0, -196.0, -199.0, -204.0, -207.0, -210.0, -213.0, -214.0, -214.0, -215.0, -215.0, -215.0, -215.0, -215.0]"
"left_button","Tue Oct 10 12:57:49 2023","left_button","\"Transplant\"","490","490","Not appropiate","Appropriate","[28205.0, 28215.0, 28225.0, 28235.0, 28245.0, 28255.0, 28265.0, 28275.0, 28285.0, 28295.0, 28305.0, 28315.0, 28325.0, 28335.0, 28345.0, 28355.0, 28365.0, 28375.0, 28385.0, 28395.0, 28405.0, 28415.0, 28425.0, 28435.0, 28445.0, 28455.0, 28465.0, 28475.0, 28485.0, 28495.0, 28505.0, 28515.0, 28525.0, 28535.0, 28545.0, 28555.0, 28565.0, 28575.0, 28585.0, 28595.0, 28605.0, 28615.0, 28625.0, 28635.0, 28645.0, 28655.0, 28665.0, 28675.0, 28685.0, 28695.0, 28705.0, 28715.0, 28725.0, 28735.0, 28745.0, 28755.0, 28765.0, 28775.0, 28785.0, 28795.0, 28805.0, 28815.0, 28825.0, 28835.0, 28845.0, 28855.0, 28865.0, 28875.0, 28885.0, 28895.0, 28905.0, 28915.0, 28925.0, 28935.0, 28945.0, 28955.0, 28965.0, 28975.0, 28985.0, 28995.0, 29005.0, 29015.0, 29025.0, 29035.0, 29045.0, 29055.0, 29065.0, 29075.0, 29085.0, 29095.0, 29101]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.0, 13.0, 24.0, 35.0, 79.0, 98.0, 107.0, 129.0, 165.0, 184.0, 201.0, 220.0, 236.0, 258.0, 270.0, 279.0, 288.0, 300.0, 305.0, 309.0, 311.0, 316.0, 319.0, 320.0, 322.0, 324.0, 326.0, 328.0, 329.0, 331.0, 335.0, 337.0, 338.0, 339.0, 340.0, 340.0, 340.0, 340.0, 340.0]","[325, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 325.0, 324.0, 322.0, 311.0, 301.0, 287.0, 271.0, 211.0, 182.0, 167.0, 136.0, 78.0, 49.0, 22.0, -8.0, -32.0, -66.0, -84.0, -98.0, -108.0, -127.0, -134.0, -141.0, -143.0, -150.0, -153.0, -154.0, -156.0, -159.0, -161.0, -164.0, -166.0, -170.0, -179.0, -181.0, -183.0, -186.0, -188.0, -189.0, -189.0, -189.0, -189.0]"
